tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::2::가::1),newgrowth,지능정보,가. 인공지능,1),학습 및 추론 기술,"다양한 기계학습 알고리즘(algorithm), 딥러닝(deep learning), 지식베이스(knowledge base) 구축, 지식추론 등 학습 알고리즘과 모델링(modeling) 조합을 통해 지능의 정확도와 속도를 향상시키는 소프트웨어 기술"
newgrowth::2::가::2),newgrowth,지능정보,가. 인공지능,2),언어이해 기술,"텍스트(text), 음성에서 언어를 인지·이해하고 사람처럼 응대할 수 있는 자연어 처리, 정보검색, 질의응답, 언어의미 이해, 형태소ㆍ구문 분석 등 언어 관련 소프트웨어 기술"
newgrowth::2::가::3),newgrowth,지능정보,가. 인공지능,3),시각이해 기술,"비디오(video), 이미지(image) 등에서 객체를 구분하고 움직임의 의미를 파악하기 위한 컴퓨터 비전(computer vision), 행동 인식, 내용기반 영상검색, 영상 이해, 영상 생성 등 사람의 시각지능을 모사한 소프트웨어 기술"
newgrowth::2::가::4),newgrowth,지능정보,가. 인공지능,4),상황이해 기술,"다양한 센서(sensor)를 통해 수집된 환경정보를 이해하거나, 대화 상대의 감정을 이해하고 주변상황과 연결한 자신의 상태를 이해하는 등 자신이 포함된 세계나 환경을 이해하여 적절한 행동을 결정짓는 소프트웨어 기술"
newgrowth::2::가::5),newgrowth,지능정보,가. 인공지능,5),인지컴퓨팅 기술,"저전력ㆍ고효율로 지능정보 학습을 수행할 수 있도록 컴퓨터 시스템 구조를 재설계하거나, 인공지능 알고리즘(algorithm) 처리가 용이하도록 초고성능 연산 플랫폼(Platform)을 제공하는 컴퓨터 하드웨어 및 소프트웨어 기술"
newgrowth::2::나::1),newgrowth,지능정보,"나. IoT(Internet of Things, 사물인터넷)",1),IoT 네트워크 기술,"사물간의 네트워크(network)를 구성하기 위한 대량의 네트워크(Massive IoT) 구성 기술, 저전력 초경량 네트워크 기술(LPWA: Low Power Wide Area) 및 네트워크 상황에 따른 품질 보장형 협업 네트워크와 사물인터넷 전용망 기술"
newgrowth::2::나::2),newgrowth,지능정보,나. 사물인터넷(IoT: Internet of Things),2),IoT 플랫폼 기술,다양한 사물인터넷 기기에 대한 식별ㆍ통신ㆍ검색ㆍ접근 및 사물인터넷 기기를 통한 데이터 수집ㆍ저장ㆍ관리와 데이터에 대한 분석ㆍ가공을 지원하는 지능형 소프트웨어 플랫폼(Software Platform) 기술
newgrowth::2::나::3),newgrowth,지능정보,나. 사물인터넷(IoT: Internet of Things),3),사이버물리시스템 기술,센서와 구동체[액츄에이터(Actuator)]를 갖는 기계적 장치와 이를 제어하는 정보통신 인프라(infra)를 결합하여 물리적 환경과 가상 환경을 연결하는 것으로 물리적 환경을 실시간으로 모니터링(monitoring)하여 대량의 데이터(data)를 수집ㆍ분석ㆍ처리하고 이를 바탕으로 물리적 기계장치 또는 컴퓨팅(computing) 장치를 자동으로 제어하는 임베디드(embedded) 기반 분산제어 시스템 기술
newgrowth::2::다::1),newgrowth,지능정보,다. 클라우드(Cloud),1),SaaS(Software as a Service) 기술,"다양한 클라우드 환경에서 인터넷을 통한 소프트웨어 사용이 실행가능하도록 상호운용성을 확보하고, 다양한 사용자 요구를 소프트웨어 자체의 변경 없이 수용하는 맞춤형 서비스 기술 및 SaaS 응용을 연계하여 새로운 서비스를 제공하는 서비스 매쉬업(mashup) 기술"
newgrowth::2::다::2),newgrowth,지능정보,다. 클라우드(Cloud),2),PaaS(Platform as a Service) 기술,"개발자가 데이터베이스(database), 웹(web), 모바일(mobile), 데이터(data) 처리 등의 소프트웨어 개발 환경을 클라우드 상에서 손쉽게 활용하여 응용 서비스의 개발ㆍ배포 및 이전이 가능하도록 하는 기술 및 실행환경 제공 기술"
