tech_id,dataset,sector_name,subsector,item_no,tech_name,tech_description
newgrowth::5::가::1),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,1),고속 컴퓨팅을 위한 SoC 설계ㆍ제조 기술,"인간형 인식, 판단, 논리를 수행할 수 있는 뉴럴넷(Neural Network)을 구현하는 초고속, 저전력 슈퍼프로세서 기술로서 지능형 자율주행 이동체(드론 등), 지능형 로봇, 게임로봇, 고속 정보 저장ㆍ처리 및 통신기기, 위성체 및 군사용 무기 체계, 보안카메라, DVR (Digital Video Recoder)등의 화상처리용 지능형 보안시스템, 복합 교통관제 시스템 등의 제작을 위해 매니코어(Many Core)를 단일 반도체에 통합한 SoC(System on Chip) 설계 및 제조(7nm 이하) 기술"
newgrowth::5::가::10),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,10),전자제품 무선충전 기술,기존 유도방식 무선충전 대비 충전 자유도가 높은 고출력 공진방식 무선ㆍ급속 충전 기술 및 원거리 RF(Radio Frequency) 전력전송 기술
newgrowth::5::가::11),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,11),웨이퍼레벨 칩 패키징 공정기술,LED 칩을 미세 패턴이 가공된 열전도성이 높은 웨이퍼 위에서 일련의 공정을 통해 패키징한 후 다이싱(dicing)하여 칩 패키지를 제조하는 기술
newgrowth::5::가::2),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,2),초소형ㆍ초저전력 IoTㆍ웨어러블 SoC 설계ㆍ제조 기술,"IoT, 착용형 스마트 단말기기 및 웨어러블 센서(wearable sensor) 등을 위해 장기간 지속사용이 가능하고, 초소형ㆍ초저전력으로 동작하며, IoT 네트워크에 지능형 서비스를 적용하기 위한 지능정보 및 데이터의 처리가 가능한 초저전력 SoC(System on Chip) 설계ㆍ제조 기술"
newgrowth::5::가::3),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,3),"SoC 파운드리 제조, 후공정 및 장비 설계ㆍ제조 기술","SoC(System on Chip) 반도체 개발ㆍ양산을 위한 핵심 기반기술로 파운드리(Foundry) 분야의 7nm 이하급 제조공정 및 공정 설계기술, 2D/2.5D/3D 패키징 등 파운드리(Foundry) 후공정 기술 및 파운드리 소재ㆍ장비 설계ㆍ제조 기술"
newgrowth::5::가::4),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,4),차세대 메모리반도체 제조기술과 소재ㆍ장비 및 장비부품의 설계ㆍ제조기술,"기존 메모리반도체인 D램(DRAM)과 낸드 플래시메모리(Nand Flash Memory)의 장점을 조합한 STT-MRAM(Spin Transfer Torque-Magnetic Random Access Memory), PRAM(Phase-change Random Access Memory), ReRAM(Resistive Random Access Memory) 등 차세대 메모리반도체 제조기술 및 관련 소재ㆍ장비 및 장비부품의 설계ㆍ제조기술"
newgrowth::5::가::5),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,5),지능형 마이크로 센서 설계ㆍ제조ㆍ패키지 기술,"물리적ㆍ화학적인 아날로그(analogue) 정보를 얻는 감지부와 논리ㆍ판단ㆍ통신기능을 갖춘 지능화된 신호처리 집적회로가 결합된 소자로서 나노기술, MEMS[Micro Electro Mechanical System, 기계부품ㆍ센서(sensor)ㆍ액츄에이터(actuator) 및 전자회로를 하나의 기판 위에 집적화)] 기술, 바이오 기술, 0.8㎛이하 CMOS 이미지센서 기술 또는 SoC(System on Chip) 기술이 결합된 초소형 고성능 센서 설계ㆍ제조 및 패키지 기술"
newgrowth::5::가::6),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,6),차량용 반도체 설계ㆍ제조기술,"자동차 기능안전성 국제표준 ISO26262, 자동차용 반도체 신뢰성 시험규격 ACE-Q100을 만족하는 MCU(Micro controller unit), ECU(Electronic control unit), 파워IC, SOC, 전기차, 하이브리드자동차 및 자율주행용 IC 반도체의 설계ㆍ제조 기술"
newgrowth::5::가::7),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,7),에너지효율향상 반도체 설계ㆍ제조기술,"실리콘 기반의 MOSFET(MOS field-effect transistor)에 비해 저저항ㆍ고효율 특성을 지니며 차세대 응용 분야(전기차, 하이브리드자동차, 태양광, 풍력발전 등 신재생에너지, 스마트그리드 등) 인버터 등에 탑재되는 SJ(Super Junction) MOSFET, IGBT, SiC MOSFET의 설계ㆍ제조 기술"
newgrowth::5::가::8),newgrowth,차세대전자정보 디바이스,가. 지능형 반도체ㆍ센서,8),첨단 메모리반도체 설계ㆍ제조기술,12nm 이하급 D램과 220단 이상 낸드플래시메모리 설계ㆍ제조 기술
