index,sector_number,sector_name,subsector,item_no,tech_name,facility_description,version,apply_date,status,current
1,1,미래형 자동차,가. 자율 주행차,,주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전(vision) 센서(sensor), 레이더(radar) 센서, 레이저 스캐너(laser scanner) 센서를 제작하는 시설",220318,2022-01-01,신설,False
2,1,미래형 자동차,가. 자율 주행차,,주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전(vision) 센서(sensor), 레이더(radar) 센서, 레이저 스캐너(laser scanner) 센서를 제작하는 시설",230607,2022-12-31,삭제,True
3,1,미래형 자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전(vision) 센서(sensor), 레이더(radar) 센서, 레이저 스캐너(laser scanner) 센서, 초음파 센서를 제작하는 시설",170317,2017-01-01,신설,False
4,1,미래형 자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전(vision) 센서(sensor), 레이더(radar) 센서, 레이저 스캐너(laser scanner) 센서를 제작하는 시설",210316,2021-01-01,변경,False
5,1,미래형 자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전(vision) 센서(sensor), 레이더(radar) 센서, 레이저 스캐너(laser scanner) 센서를 제작하는 시설",220318,2021-12-31,삭제,False
6,1,미래형 자동차,나. 전기 구동차,1),전기구동방식 자동차의  에너지저장 시스템 밀도 향상 기술,장거리 주행거리 확보를 위해 에너지저장 시스템 밀도를 향상시킨 이차전지를 생산하는 시설,170317,2017-01-01,신설,False
7,1,미래형 자동차,나. 전기 구동차,1),전기동력 자동차의 에너지저장 시스템 기술,"전기동력 자동차(xEV)의 주행거리 연장, 충전시간 단축 등을 위해 에너지 밀도를 160Wh/kg 이상으로 구현한 이차전지를 생산하는 시설",210316,2021-01-01,변경,False
8,1,미래형 자동차,나. 전기 구동차,1),전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 휠에 전달하기 위한 감속기ㆍ변속기 등을 고효율화 하는 구동시스템을 제조하는 시설,220318,2022-01-01,변경,False
9,1,미래형 자동차,나. 전기 구동차,1),전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 휠에 전달하기 위한 감속기ㆍ변속기 등을 고효율화 하는 구동시스템을 제조하는 시설,230607,2022-12-31,삭제,False
10,1,미래형 자동차,나. 전기 구동차,1),전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 휠에 전달하기 위한 감속기ㆍ변속기 등을 고효율화 하는 구동시스템을 제조하는 시설,230829,2023-06-30,삭제,False
11,1,미래형 자동차,나. 전기 구동차,1),전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 휠에 전달하기 위한 감속기ㆍ변속기 등을 고효율화 하는 구동시스템을 제조하는 시설,240322,2023-12-31,삭제,False
12,1,미래형 자동차,나. 전기 구동차,1),전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 휠에 전달하기 위한 감속기ㆍ변속기 등을 고효율화 하는 구동시스템을 제조하는 시설,250321,2024-12-31,삭제,False
13,1,미래형 자동차,나. 전기 구동차,1),전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 휠에 전달하기 위한 감속기ㆍ변속기 등을 고효율화 하는 구동시스템을 제조하는 시설,251128,2025-06-30,삭제,False
14,1,미래형 자동차,나. 전기 구동차,1),전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 휠에 전달하기 위한 감속기ㆍ변속기 등을 고효율화 하는 구동시스템을 제조하는 시설,260320,2025-12-31,삭제,True
15,1,미래형 자동차,나. 전기 구동차,2),수소연료 저장ㆍ공급 장치 제조 기술,수소연료로 전기를 생산하여 운행되는 수소연료전지자동차(FCEV: Fuel Cell Electric Vehicle) 내에 수소연료를 저장 및 공급하는 장치를 제조하는 시설,170317,2017-01-01,신설,False
16,1,미래형 자동차,나. 전기 구동차,2),전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와, 전기동력 자동차와 자동으로 연결되는 유ㆍ무선 충전 인터페이스장치를 설계ㆍ제조하는 시설",220318,2022-01-01,변경,False
17,1,미래형 자동차,나. 전기 구동차,2),전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와, 전기동력 자동차와 자동으로 연결되는 유ㆍ무선 충전 인터페이스장치를 설계ㆍ제조하는 시설",230607,2022-12-31,삭제,False
18,1,미래형 자동차,나. 전기 구동차,2),전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와, 전기동력 자동차와 자동으로 연결되는 유ㆍ무선 충전 인터페이스장치를 설계ㆍ제조하는 시설",230829,2023-06-30,삭제,False
19,1,미래형 자동차,나. 전기 구동차,2),전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와, 전기동력 자동차와 자동으로 연결되는 유ㆍ무선 충전 인터페이스장치를 설계ㆍ제조하는 시설",240322,2023-12-31,삭제,False
20,1,미래형 자동차,나. 전기 구동차,2),전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와, 전기동력 자동차와 자동으로 연결되는 유ㆍ무선 충전 인터페이스장치를 설계ㆍ제조하는 시설",250321,2024-12-31,삭제,False
21,1,미래형 자동차,나. 전기 구동차,2),전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와, 전기동력 자동차와 자동으로 연결되는 유ㆍ무선 충전 인터페이스장치를 설계ㆍ제조하는 시설",251128,2025-06-30,삭제,False
22,1,미래형 자동차,나. 전기 구동차,2),전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와, 전기동력 자동차와 자동으로 연결되는 유ㆍ무선 충전 인터페이스장치를 설계ㆍ제조하는 시설",260320,2025-12-31,삭제,True
23,1,미래형 자동차,나. 전기 구동차,3),수소충전소의 수소생산ㆍ압축ㆍ저장ㆍ충전설비 부품 제조기술,"수소연료전지자동차에 수소연료를 공급하기 위한 수소충전소의 수소생산설비, 압축설비, 저장설비, 충전설비 및 그 부품을 제작하는 시설",170317,2017-01-01,신설,False
24,1,미래형 자동차,나. 전기 구동차,3),전기차 초고속ㆍ고효율 무선충전 기술,"전기구동방식 자동차와 관련하여 감전위험이 없는 비접촉 무선 전력전송 방식(자기유도, 자기공명, 전자기파)으로 배터리를 충전하기 위한 전력 전송효율 90% 이상의 초고속 고효율 무선충전시스템 및 무선충전 핵심모듈(급전 인버터, 집전 픽업구조, 레귤레이터)을 제작하는 시설",220318,2022-01-01,변경,True
25,1,미래형 자동차,나. 전기 구동차,4),전기구동방식 자동차 구동모터 효율 향상을 위한 부품 개발 및 시험 기술,"전기를 이용하여 차량을 구동하는 부품으로서, 차량 구동축에 연결하여 회전력을 바퀴에 전달함으로서 차량을 구동시킬 수 있는 고효율 전기구동방식 자동차 구동용 모터를 제작하는 시설",170317,2017-01-01,신설,False
26,1,미래형 자동차,나. 전기 구동차,4),전기동력 자동차의 구동시스템 고효율화 기술,전기동력 자동차에서 전기에너지를 운동에너지로 변환시키는 모터와 구동력을 휠에 전달하기 위한 감속기ㆍ변속기 등을 고효율화 하는 구동시스템을 제조하는 시설,210316,2021-01-01,변경,False
27,1,미래형 자동차,나. 전기 구동차,4),초고효율 하이브리드 시스템 기술,"하이브리드자동차(HEV)의 연비 향상, 배출가스 감축 등을 위해 엔진 열효율(공급된 연료에너지에 대해 출력되는 유효일의 비를 말한다)을 45% 이상으로 구현하기 위한 하이브리드 구동시스템을 설계ㆍ제조하는 시설",220318,2022-01-01,변경,True
28,1,미래형 자동차,나. 전기 구동차,5),대용량 충전용 전력변환장치 및 자동 연결 충전 커넥터 설계 및 제작기술,"최대 출력 100kW급 이상, 최대 공급 전력 200A이상이고 최대 효율 92%이상을 만족하는 전기구동방식 자동차 충전용 전력변환장치와, 전기적 안전성과 사용자 편리 등을 확보하기 위해 전기구동방식 자동차와 자동 연결되는 충전 커넥터를 제작하는 시설",170317,2017-01-01,신설,False
29,1,미래형 자동차,나. 전기 구동차,5),전기동력 자동차의 전력변환 및 충전 시스템 기술,"최대 출력 100kW급 이상, 최대 효율 92% 이상을 만족하는 전기동력 자동차 급속충전용 전력변환장치와, 전기동력 자동차와 자동으로 연결되는 유ㆍ무선 충전 인터페이스장치를 설계ㆍ제조하는 시설",210316,2021-01-01,변경,False
