index,sector_number,sector_name,subsector,item_no,tech_name,tech_description,version,apply_date,status,current,has_facility
1,1,미래형자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 레이저 스캐너 센서(laser scanner sensor) 또는 초음파 센서 제작 기술과 주행환경 상의 전방위 물체에 대한 정확한 거리와 공간정보를 처리하는 소프트웨어 기술",170207,2017-01-01,신설,False,FALSE
2,1,미래형자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 레이저 스캐너 센서(laser scanner sensor) 기술과 주행환경 상의 전방위 물체에 대한 정확한 거리와 공간정보를 처리하는 소프트웨어 기술",210217,2021-01-01,변경,False,FALSE
3,1,미래형자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 레이저 스캐너 센서(laser scanner sensor) 기술과 주행환경 상의 전방위 물체에 대한 정확한 거리와 공간정보를 처리하는 소프트웨어 기술",230607,2022-12-31,삭제,False,FALSE
4,1,미래형자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 레이저 스캐너 센서(laser scanner sensor) 기술과 주행환경 상의 전방위 물체에 대한 정확한 거리와 공간정보를 처리하는 소프트웨어 기술",230829,2023-06-30,삭제,False,FALSE
5,1,미래형자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 레이저 스캐너 센서(laser scanner sensor) 기술과 주행환경 상의 전방위 물체에 대한 정확한 거리와 공간정보를 처리하는 소프트웨어 기술",240229,2023-12-31,삭제,False,FALSE
6,1,미래형자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 레이저 스캐너 센서(laser scanner sensor) 기술과 주행환경 상의 전방위 물체에 대한 정확한 거리와 공간정보를 처리하는 소프트웨어 기술",250228,2024-12-31,삭제,False,FALSE
7,1,미래형자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 레이저 스캐너 센서(laser scanner sensor) 기술과 주행환경 상의 전방위 물체에 대한 정확한 거리와 공간정보를 처리하는 소프트웨어 기술",251128,2025-06-30,삭제,False,FALSE
8,1,미래형자동차,가. 자율 주행차,1),주행상황 인지 센서 기술,"주행상황을 인지하는 차량탑재용 비전 센서(vision sensor), 레이더 센서(radar sensor), 레이저 스캐너 센서(laser scanner sensor) 기술과 주행환경 상의 전방위 물체에 대한 정확한 거리와 공간정보를 처리하는 소프트웨어 기술",260227,2025-12-31,삭제,True,FALSE
9,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,"차량탑재 센서 및 차량 간 통신 네트워크(network)를 기반으로 자동주차, 사고회피 및 능동안전주행을 수행하기 위한 센서퓨전(sensor fusion) 기술, 차량 내·외 통신기술과 정밀도로지도 구축 및 매칭(matching) 기술",170207,2017-01-01,신설,False,FALSE
10,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,"차량탑재 센서 및 차량 간 통신 네트워크(network)를 기반으로 자동주차, 사고회피 및 능동안전주행을 수행하기 위한 센서퓨전(sensor fusion) 기술, 차량 내ㆍ외 통신기술과 정밀도로지도 구축 및 매칭(matching) 기술",190212,2019-01-01,변경,False,FALSE
11,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,인지 센서를 통해 수집된 정보를 차량환경에서 고속처리하는 컴퓨팅모듈 통합시스템 설계 기술과 차량 내ㆍ외 통신기술 및 정밀도로지도 구축ㆍ정합 기술,210217,2021-01-01,변경,False,FALSE
12,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,인지 센서를 통해 수집된 정보를 차량환경에서 고속처리하는 컴퓨팅모듈 통합시스템 설계 기술과 차량 내ㆍ외 통신기술 및 정밀도로지도 구축ㆍ정합 기술,230607,2022-12-31,삭제,False,FALSE
13,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,인지 센서를 통해 수집된 정보를 차량환경에서 고속처리하는 컴퓨팅모듈 통합시스템 설계 기술과 차량 내ㆍ외 통신기술 및 정밀도로지도 구축ㆍ정합 기술,230829,2023-06-30,삭제,False,FALSE
14,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,인지 센서를 통해 수집된 정보를 차량환경에서 고속처리하는 컴퓨팅모듈 통합시스템 설계 기술과 차량 내ㆍ외 통신기술 및 정밀도로지도 구축ㆍ정합 기술,240229,2023-12-31,삭제,False,FALSE
15,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,인지 센서를 통해 수집된 정보를 차량환경에서 고속처리하는 컴퓨팅모듈 통합시스템 설계 기술과 차량 내ㆍ외 통신기술 및 정밀도로지도 구축ㆍ정합 기술,250228,2024-12-31,삭제,False,FALSE
16,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,인지 센서를 통해 수집된 정보를 차량환경에서 고속처리하는 컴퓨팅모듈 통합시스템 설계 기술과 차량 내ㆍ외 통신기술 및 정밀도로지도 구축ㆍ정합 기술,251128,2025-06-30,삭제,False,FALSE
17,1,미래형자동차,가. 자율 주행차,2),주행지능정보처리 통합시스템 기술,인지 센서를 통해 수집된 정보를 차량환경에서 고속처리하는 컴퓨팅모듈 통합시스템 설계 기술과 차량 내ㆍ외 통신기술 및 정밀도로지도 구축ㆍ정합 기술,260227,2025-12-31,삭제,True,FALSE
18,1,미래형자동차,가. 자율 주행차,3),주행상황 인지 기반 통합제어 시스템 기술,"다양한 환경조건에서 강인하고 신뢰성 있게 차량의 정밀위치와 주변의 차량, 보행자, 차선 및 표지판 등의 주행상황을 인지하여 안정된 주행이 가능하도록 차량의 구동, 제동, 조향, 현가시스템을 능동적으로 제어하는 통합제어 시스템 설계 기술",170207,2017-01-01,신설,False,FALSE
19,1,미래형자동차,가. 자율 주행차,3),주행상황 인지 기반 통합제어 시스템 기술,주행상황을 인지·판단하여 차선ㆍ차로를 제어하는 주행경로 생성 기술과 고장예지ㆍ고장제어ㆍ비상운행 등의 다중안전설계기술이 적용된 차량의 구동ㆍ조향ㆍ제동ㆍ제어 시스템과 이를 능동적으로 제어하는 통합제어 시스템 설계 기술,210217,2021-01-01,변경,False,FALSE
20,1,미래형자동차,가. 자율 주행차,3),주행상황 인지 기반 통합제어 시스템 기술,주행상황을 인지·판단하여 차선ㆍ차로를 제어하는 주행경로 생성 기술과 고장예지ㆍ고장제어ㆍ비상운행 등의 다중안전설계기술이 적용된 차량의 구동ㆍ조향ㆍ제동ㆍ제어 시스템과 이를 능동적으로 제어하는 통합제어 시스템 설계 기술,230607,2022-12-31,삭제,False,FALSE
21,1,미래형자동차,가. 자율 주행차,3),주행상황 인지 기반 통합제어 시스템 기술,주행상황을 인지·판단하여 차선ㆍ차로를 제어하는 주행경로 생성 기술과 고장예지ㆍ고장제어ㆍ비상운행 등의 다중안전설계기술이 적용된 차량의 구동ㆍ조향ㆍ제동ㆍ제어 시스템과 이를 능동적으로 제어하는 통합제어 시스템 설계 기술,230829,2023-06-30,삭제,False,FALSE
22,1,미래형자동차,가. 자율 주행차,3),주행상황 인지 기반 통합제어 시스템 기술,주행상황을 인지·판단하여 차선ㆍ차로를 제어하는 주행경로 생성 기술과 고장예지ㆍ고장제어ㆍ비상운행 등의 다중안전설계기술이 적용된 차량의 구동ㆍ조향ㆍ제동ㆍ제어 시스템과 이를 능동적으로 제어하는 통합제어 시스템 설계 기술,240229,2023-12-31,삭제,False,FALSE
23,1,미래형자동차,가. 자율 주행차,3),주행상황 인지 기반 통합제어 시스템 기술,주행상황을 인지·판단하여 차선ㆍ차로를 제어하는 주행경로 생성 기술과 고장예지ㆍ고장제어ㆍ비상운행 등의 다중안전설계기술이 적용된 차량의 구동ㆍ조향ㆍ제동ㆍ제어 시스템과 이를 능동적으로 제어하는 통합제어 시스템 설계 기술,250228,2024-12-31,삭제,False,FALSE
24,1,미래형자동차,가. 자율 주행차,3),주행상황 인지 기반 통합제어 시스템 기술,주행상황을 인지·판단하여 차선ㆍ차로를 제어하는 주행경로 생성 기술과 고장예지ㆍ고장제어ㆍ비상운행 등의 다중안전설계기술이 적용된 차량의 구동ㆍ조향ㆍ제동ㆍ제어 시스템과 이를 능동적으로 제어하는 통합제어 시스템 설계 기술,251128,2025-06-30,삭제,False,FALSE
25,1,미래형자동차,가. 자율 주행차,3),주행상황 인지 기반 통합제어 시스템 기술,주행상황을 인지·판단하여 차선ㆍ차로를 제어하는 주행경로 생성 기술과 고장예지ㆍ고장제어ㆍ비상운행 등의 다중안전설계기술이 적용된 차량의 구동ㆍ조향ㆍ제동ㆍ제어 시스템과 이를 능동적으로 제어하는 통합제어 시스템 설계 기술,260227,2025-12-31,삭제,True,FALSE
26,1,미래형자동차,가. 자율 주행차,4),운전자와 자동차 간 인터페이스 및 자율주행 사고원인 규명 기술,"자율주행 환경에서 운전자의 안전성, 수용성(불안감 해소)을 향상시킬 수 있는 운전자와 자동차 간 인터페이스 설계 기술과 사고시점 전·후의 자동차 내·외부 정보를 저장하는 기술",170207,2017-01-01,신설,False,FALSE
27,1,미래형자동차,가. 자율 주행차,4),운전자와 자동차 간 인터페이스 및 자율주행 사고원인 규명 기술,"자율주행 환경에서 운전자의 안전성, 수용성(불안감 해소)을 향상시킬 수 있는 운전자와 자동차 간 인터페이스 설계 기술과 사고시점 전ㆍ후의 자동차 내ㆍ외부 정보를 저장하는 기술",190212,2019-01-01,변경,False,FALSE
28,1,미래형자동차,가. 자율 주행차,4),자율주행 사고원인 규명 기술,자율주행 사고시점 전후의 자동차 내외부 정보를 저장하고 분석하는 기술,210217,2021-01-01,변경,False,FALSE
29,1,미래형자동차,가. 자율 주행차,4),자율주행 기록 및 사고원인 규명 기술,자율주행 운행 기록과 사고시점 전후의 자동차 내외부 정보를 저장하고 분석하는 기술,240229,2024-01-01,변경,True,FALSE
